,Original Source of Data:,"Australian Bureau of Statistics, Labour Force Survey Quarterly, Cat. 6291.0.55.003, Data cube E06",,,,,,,,,,,,,,,,,,"Australian Bureau of Statistics, 2011 Census of Population and Housing",,,,,,,"Australian Bureau of Statistics, 2011 Census of Population and Housing",,,,,,,,,,,,,,,,,,,,"Australian Bureau of Statistics, 2011 Census of Population and Housing",,,,,,"Australian Bureau of Statistics, 2011 Census of Population and Housing",,,,,,,"Australian Bureau of Statistics, 2011 Census of Population and Housing",,,"Australian Bureau of Statistics, 2011 Census of Population and Housing",,,,,,,,,,,,,"National Centre for Vocational Education Research, VocStats",,,,,,"National Centre for Vocational Education Research, VocStats",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comments:,1. DFEEST has adjusted the data based on 2011 Census shares to incorporate occupations ‘not further defined’ to improve the completeness of the data.,,,,,,,,,,,,,,,,,,1. DFEEST has adjusted the data based on 2011 Census shares to incorporate occupations ‘not further defined’ to improve the completeness of the data.,,,,,,,1. DFEEST has adjusted the data based on 2011 Census shares to incorporate occupations ‘not further defined’ to improve the completeness of the data.,,,,,,,,,,,,,,,,,,,,1. DFEEST has adjusted the data based on 2011 Census shares to incorporate occupations ‘not further defined’ to improve the completeness of the data.,,,,,,1. DFEEST has adjusted the data based on 2011 Census shares to incorporate occupations ‘not further defined’ to improve the completeness of the data.,,,,,,,1. DFEEST has adjusted the data based on 2011 Census shares to incorporate occupations ‘not further defined’ to improve the completeness of the data.,,,1. DFEEST has adjusted the data based on 2011 Census shares to incorporate occupations ‘not further defined’ to improve the completeness of the data.,,,,,,,,,,,,,1. DFEEST has adjusted the data based on 2011 Census shares to incorporate occupations ‘not further defined’ to improve the completeness of the data.,,,,,,1. DFEEST has adjusted the data based on 2011 Census shares to incorporate occupations ‘not further defined’ to improve the completeness of the data.,,,,,
,,"2. Data has been annualised and rounded to minimise volatility as detailed estimates may be subject to high standard errors and, due to rounding, totals may not reconcile.",,,,,,,,,,,,,,,,,,,,,,,,,2. Totals exclude those who did not state or inadequately described their primary industry of employment.,,,,,,,,,,,,,,,,,,,,"2. An adjustment has been made to incorporate 'Certificate nfd' into 'Certificate I & II' and 'Certificate III & IV' (based their respective shares) to capture a more 'complete' indication those with certificate I & II and certificate III & IV qualifications, and due to the adjustment, totals may not reconcile.",,,,,,2. 'Total' excludes those who either did not state or inadequately described their highest level of schooling completed.,,,,,,,2. 'Total' excludes those who either did not state or inadequately described their indigenous status.,,,2. Total Includes those who have no fixed address and are offshore migratory.,,,,,,,,,,,,,,,,,,,2. DFEEST have translated the data from 'Field of Education' to 'Occupation' based on a concordance derrived from data from the 2011 Census.,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 'Total' excludes those who either did not state or inadequately described their post-school qualification level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANZSCO,,Total Employed,,,,,,Male Employment,,,,,,Full Time Employment,,,,,,Age Groups,,,,,,,Industry Groups,,,,,,,,,,,,,,,,,,,,Qualification Levels,,,,,,Schooling Levels,,,,,,,Indigenous Status,,,State Government Regions,,,,,,,,,,,,,Apprentiships and Traineeships,,,,,,VET Students,,,,,
Code,Occupation,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,15-24,25-34,35-44,45-54,55-64,65+,Total,"Agriculture, Forestry & Fishing",Mining,Manufacturing,"Electricity, Gas, Water & Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation & Food Services,"Transport, Postal & Warehousing",Information Media & Telecommunications,Financial & Insurance Services,"Rental, Hiring & Real Estate Services","Professional, Scientific & Technical Services",Administrative & Support Services,Public Administration & Safety,Education & Training,Health Care & Social Assistance,Arts & Recreation Services,Other Services,Total,Bachelor or Higher,Diploma or Advance Diploma,Certificate III or IV,Certificate I or II,Not Applicable,Total,Year 12 or equivalent,Year 11 or equivalent,Year 10 or equivalent,Year 9 or equivalent,Year 8 or below,Did not go to school,Total,Non-Indigenous,Indigenous,Total,Adelaide Hills,Barossa,Eastern Adelaide,Eyre & Western,Far North,Fleurieu & Kangaroo Island,Limestone Coast,Murray & Mallee,Northern Adelaide,Southern Adelaide,Western Adelaide,Yorke & Mid North,Total,2006,2007,2008,2009,2010,2011,2006,2007,2008,2009,2010,2011
1111,Chief Executives & Managing Directors,"3,583","4,793","3,651","3,934","5,837","4,650","2,990","3,520","3,138","3,023","4,451","3,999","3,109","4,076","3,307","3,628","5,079","4,192",21,241,805,"1,243",876,254,"3,440",79,62,545,49,270,145,281,79,115,73,118,68,427,126,304,129,253,65,174,"3,362","1,482",412,606,14,805,"3,318","2,273",635,379,70,48,4,"3,410","3,398",32,"3,430",283,84,"1,054",65,23,61,89,81,350,817,452,80,"3,442",0,0,0,0,0,0,87,90,87,72,109,105
1112,General Managers,"3,211","2,901","3,277","3,373","3,440","3,499","2,313","2,015","2,456","2,917","3,181","2,732","3,026","2,654","3,079","3,060","3,172","2,951",32,349,940,"1,103",576,134,"3,133",48,34,439,55,204,281,280,135,109,169,138,57,206,134,256,76,256,68,137,"3,082","1,178",469,521,27,857,"3,052","2,087",630,328,42,22,0,"3,110","3,091",34,"3,125",214,107,759,62,38,60,62,67,487,752,465,61,"3,134",0,0,0,0,0,0,100,106,115,127,155,175
1113,Legislators,84,415,370,102,265,50,0,120,174,1,209,1,84,251,369,1,264,2,6,25,26,44,54,29,184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,157,0,14,0,6,181,88,16,27,3,43,177,120,31,15,7,5,0,178,176,5,181,17,4,47,10,4,7,7,7,28,28,15,8,183,0,0,0,0,0,0,0,0,0,0,0,0
